Practice Name,Address,Phone,Website
City Family Dental Care,"Level 1, Room 23, 12 Collins Street, MELBOURNE VIC 3000",(03) 9654-4455,https://www.dentist.com.au/dentist-detail/vic/melbourne/city-family-dental-care/A11003152
Dentist On Collins,"Suite 2, Level 9, 15 Collins Street, MELBOURNE VIC 3000",(03) 9662-1505,
Melbourne Dentist,"Suite 2, Ground Floor, 517 St Kilda Road, MELBOURNE VIC 3004",(03) 9867-1252,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dentist/A11001238
Art De Dente,"Level 17, 190 Queen Street, MELBOURNE VIC 3000",(03) 9642-8955,https://www.dentist.com.au/dentist-detail/vic/melbourne/art-de-dente/A11003422
Verve Dental Collins Street,"Suite 2, Level 4, 15 Collins Street, MELBOURNE VIC 3000",(03) 9654-5881,https://www.dentist.com.au/dentist-detail/vic/melbourne/verve-dental-collins-street/A11003170
DIEM Dental East Melbourne,"392 Albert Street, EAST MELBOURNE VIC 3002",(03) 9417-5174,https://www.dentist.com.au/dentist-detail/vic/east-melbourne/diem-dental-east-melbourne/A11003103
Richmond Family Dental,"32 Elizabeth Street, RICHMOND VIC 3121",(03) 9428-3701,https://www.dentist.com.au/dentist-detail/vic/richmond/richmond-family-dental/A21016460
Bridge Rd Dental,"352 Bridge Road, RICHMOND VIC 3121",(03) 9429-6020,https://www.dentist.com.au/dentist-detail/vic/richmond/bridge-rd-dental/A19015683
Milestone Dental,"432 Bridge Road, RICHMOND VIC 3121",(03) 9429-8999,https://www.dentist.com.au/dentist-detail/vic/richmond/milestone-dental/A19015874
K1 Dental,"12 Carters Avenue, TOORAK VIC 3142",(03) 9827-2922,
Andrew Gronow Dental Care,"627 Malvern Road, TOORAK VIC 3142",(03) 9593-1592,https://www.dentist.com.au/dentist-detail/vic/toorak/andrew-gronow-dental-care/A11003397
Hawthorn Dental Implant & Surgical Centre,"390 Burwood Road, HAWTHORN VIC 3122",(03) 9967-2669,https://www.dentist.com.au/dentist-detail/vic/hawthorn/hawthorn-dental-implant-and-surgical-centre/A11005975
Hawthorn Dental Hub,"Shop 6A, 740 Toorak Road, HAWTHORN EAST VIC 3123",(03) 7052-9018,https://www.dentist.com.au/dentist-detail/vic/hawthorn-east/hawthorn-dental-hub/A24019788
With U Dental,"2 Wills Street, HAWTHORN EAST VIC 3123",(03) 9882-4556,https://www.dentist.com.au/dentist-detail/vic/hawthorn-east/with-u-dental/A21016822
Dentist Melbourne,"707 Malvern Road, TOORAK VIC 3142",(03) 9804-7710,
Camberwell Junction Dental,"Level 1, 2 Prospect Hill Road, CAMBERWELL VIC 3124",(03) 9882-1187,https://www.dentist.com.au/dentist-detail/vic/camberwell/camberwell-junction-dental/A11010250
Camberwell Family Dental,"Rear, 4-8 Prospect Hill Road, CAMBERWELL VIC 3124",(03) 8592-9866,https://www.dentist.com.au/dentist-detail/vic/camberwell/camberwell-family-dental/A20015954
Box Hill Dental,"106 Thames Street, BOX HILL VIC 3128",(03) 9890-7364,https://www.dentist.com.au/dentist-detail/vic/box-hill/box-hill-dental/A11000485
Box Hill North Dental,"508 Elgar Road, BOX HILL NORTH VIC 3129",(03) 9898-1119,https://www.dentist.com.au/dentist-detail/vic/box-hill-north/box-hill-north-dental/A24019683
Shoppingtown Dental,"Suite 3004, Westfield Doncaster, 619 Doncaster Road, DONCASTER VIC 3108",(03) 9848-2399,https://www.dentist.com.au/dentist-detail/vic/doncaster/shoppingtown-dental/A11000452
Ascot Vale Dental,"97 Union Road, ASCOT VALE VIC 3032",(03) 9372-8007,https://www.dentist.com.au/dentist-detail/vic/ascot-vale/ascot-vale-dental/A21016510
Flemington Dental Care,"26 Pin Oak Crescent, FLEMINGTON VIC 3031",(03) 9376-8043,https://www.dentist.com.au/dentist-detail/vic/flemington/flemington-dental-care/A21016457
Tooth Heaven,"249 Racecourse Road, KENSINGTON VIC 3031",(03) 9376-0543,
Brunswick Dental Group,"266 Sydney Road, BRUNSWICK VIC 3056",(03) 9380-1305,
Hope Street Family Dental,"G1/10-14 Hope Street, BRUNSWICK VIC 3056",(03) 9381-0779,https://www.dentist.com.au/dentist-detail/vic/brunswick/hope-street-family-dental/A23018981
Coburg Dental Group,"127 Sydney Road, COBURG VIC 3058",(03) 9386-1805,https://www.dentist.com.au/dentist-detail/vic/coburg/coburg-dental-group/A11002803
Northland Dental Clinic,"Shop EX 09, Northland Shopping Centre, 2-50 Murray Road, PRESTON VIC 3072",(03) 9478-1036,https://www.dentist.com.au/dentist-detail/vic/preston/northland-dental-clinic/A23019247
Swann Dentistry,"407 High Street, PRESTON VIC 3072",(03) 9478-4272,https://www.dentist.com.au/dentist-detail/vic/preston/swann-dentistry/A19015528
Dentists of Preston,"230 Murray Road, PRESTON VIC 3072",(03) 9478-9757,https://www.dentist.com.au/dentist-detail/vic/preston/dentists-of-preston/A24019425
Preston Smiles Dental Clinic,"326 High Street, PRESTON VIC 3072",(03) 9470-2904,https://www.dentist.com.au/dentist-detail/vic/preston/preston-smiles-dental-clinic/A11002893
The Dental Place,"269 Broadway, RESERVOIR VIC 3073",(03) 9460-7070,https://www.dentist.com.au/dentist-detail/vic/reservoir/the-dental-place/A11000831
Smile Connections,"114 Waterdale Road, IVANHOE VIC 3079",(03) 9499-1130,https://www.dentist.com.au/dentist-detail/vic/ivanhoe/smile-connections/A11004788
St George's Dental,"109 Main Road, LOWER PLENTY VIC 3093",(03) 9432-5400,https://www.dentist.com.au/dentist-detail/vic/lower-plenty/st-georges-dental/A23019323
Dental @ Kingsway,"Suite 2, Ground Floor, 222 Kings Way, SOUTH MELBOURNE VIC 3205",(03) 9690-8535,https://www.dentist.com.au/dentist-detail/vic/south-melbourne/dental-at-kingsway/A11004755
Docklands Dental Studio,"57 Merchant Street, DOCKLANDS VIC 3008",(03) 9021-9487,https://www.dentist.com.au/dentist-detail/vic/docklands/docklands-dental-studio/A15012849
Balyang Dental,"122 West Fyans Street, NEWTOWN VIC 3220",(03) 5270-3034,https://www.dentist.com.au/dentist-detail/vic/newtown/balyang-dental/A25020042
Happy Dental,"116 Shannon Avenue, GEELONG WEST VIC 3218",(03) 5229-6668,https://www.dentist.com.au/dentist-detail/vic/geelong-west/happy-dental/A11010348
Highton Dental Centre,"52 Barrabool Road, HIGHTON VIC 3216",(03) 5242-8860,https://www.dentist.com.au/dentist-detail/vic/highton/highton-dental-centre/A19015798
Signature Smile Studio,"6 Overton Road, FRANKSTON VIC 3199",(03) 9783-2747,https://www.dentist.com.au/dentist-detail/vic/frankston/signature-smile-studio/A17014568
Seaford Dental Group,"304 Frankston-Dandenong Road, SEAFORD VIC 3198",(03) 9786-2967,https://www.dentist.com.au/dentist-detail/vic/seaford/seaford-dental-group/A11003311
Core Dental Carrum Downs,"Suite 5, 335 Ballarto Road, CARRUM DOWNS VIC 3201",(03) 8373-1555,https://www.dentist.com.au/dentist-detail/vic/carrum-downs/core-dental-carrum-downs/A16013892
Dandenong Smile Health,"68 Cleeland Street, DANDENONG VIC 3175",(03) 9791-2755,https://www.dentist.com.au/dentist-detail/vic/dandenong/dandenong-smile-health/A11003317
Balanced Smiles,"48 Brady Road, DANDENONG NORTH VIC 3175",(03) 7074-5186,https://www.dentist.com.au/dentist-detail/vic/dandenong-north/balanced-smiles/A25019890
Endeavour Hills Dental Clinic,"1 Thurmond Court, ENDEAVOUR HILLS VIC 3802",(03) 9700-5777,https://www.dentist.com.au/dentist-detail/vic/endeavour-hills/endeavour-hills-dental-clinic/A13011318
AMM Dental Clinic,"41 Paringa Drive, ST ALBANS VIC 3021",(03) 9366-3152,https://www.dentist.com.au/dentist-detail/vic/st-albans/amm-dental-clinic/A18015382
St Albans Family Dental,"274 Main Road East, ST ALBANS VIC 3021",(03) 7074-5056,https://www.dentist.com.au/dentist-detail/vic/st-albans/st-albans-family-dental/A11000824
Keilor Dental Group,"49 Milleara Road, KEILOR EAST VIC 3033",(03) 9336-2062,https://www.dentist.com.au/dentist-detail/vic/keilor-east/keilor-dental-group/A11001685
Family Care Dental & Aesthetics,"296 Heaths Road, HOPPERS CROSSING VIC 3029",(03) 9749-8049,https://www.dentist.com.au/dentist-detail/vic/hoppers-crossing/family-care-dental-and-aesthetics/A11003272
Manor Lakes Dental Centre,"15 Manor Lakes Boulevard, WYNDHAM VALE VIC 3024",(03) 9742-4533,https://www.dentist.com.au/dentist-detail/vic/wyndham-vale/manor-lakes-dental-centre/A19015561
Smile Dental Studios Tarneit,"205 Bethany Road, TARNEIT VIC 3029",(03) 9117-6800,https://www.dentist.com.au/dentist-detail/vic/tarneit/smile-dental-studios-tarneit/A21016442
Knoxfield Dental Care,"1577 Ferntree Gully Road, KNOXFIELD VIC 3180",(03) 9763-3339,https://www.dentist.com.au/dentist-detail/vic/knoxfield/knoxfield-dental-care/A22017344
MedCentral Dental,"Shop 1060, 425 Burwood Highway, WANTIRNA SOUTH VIC 3152",(03) 9887-2403,https://www.dentist.com.au/dentist-detail/vic/wantirna-south/medcentral-dental/A24019722
Elite Smiles Wantirna,"287 Stud Road, WANTIRNA SOUTH VIC 3152",(03) 9800-2338,https://www.dentist.com.au/dentist-detail/vic/wantirna-south/elite-smiles-wantirna/A11000469
Family Dentists @ Moorabbin,"462 South Road, MOORABBIN VIC 3189",(03) 9502-3310,https://www.dentist.com.au/dentist-detail/vic/moorabbin/family-dentists-%40-moorabbin/A20016326
Be You Dental,"Medical One Building, 844 Nepean Highway, MOORABBIN VIC 3189",(03) 9555-3762,https://www.dentist.com.au/dentist-detail/vic/moorabbin/be-you-dental/A11002987
Bayside Smiles - Moorabbin,"73 Keys Road, MOORABBIN VIC 3189",(03) 9069-6120,https://www.dentist.com.au/dentist-detail/vic/moorabbin/bayside-smiles---moorabbin/A19015634
McKinnon Dental Care,"181 McKinnon Road, MCKINNON VIC 3204",(03) 9957-5199,https://www.dentist.com.au/dentist-detail/vic/mckinnon/mckinnon-dental-care/A22017343
Insight Dental,"84 Glen Eira Road, RIPPONLEA VIC 3185",(03) 9523-9419,https://www.dentist.com.au/dentist-detail/vic/ripponlea/insight-dental/A14012469
Balwyn Dental Practice,"624 Whitehorse Road, BALWYN VIC 3103",(03) 9836-3112,https://www.dentist.com.au/dentist-detail/vic/balwyn/balwyn-dental-practice/A24019569
iSmile Studio Dental,"1/1090 Belmore Road, BALWYN VIC 3103",(03) 9888-5677,https://www.dentist.com.au/dentist-detail/vic/balwyn/ismile-studio-dental/A11003545
Mont Albert Dental Surgery,"30 High Street, MONT ALBERT VIC 3127",(03) 9898-1111,https://www.dentist.com.au/dentist-detail/vic/mont-albert/mont-albert-dental-surgery/A24019503
